ANIO,MES,DIA,SERVICIO,NB_COLA,LLAMADAS_DIA,REITERADAS_DIA,LLAMADAS_MES,REITERADAS_MES,FECHA,LLAMADAS_SEM,REITERADAS_SEM,SEMANA_MES
2022,6,1,BOP,BOP,8423,1078,8423,1078,2022-06-01,8423,1078,S1
2022,6,1,SOS,SOS,1623,224,1623,224,2022-06-01,1623,224,S1
2022,6,1,LINEA NEGOCIOS,LINEA NEGOCIOS,175,22,175,22,2022-06-01,175,22,S1
2022,6,1,CHAT CONSULTAS,CHAT CONSULTAS,348,83,348,83,2022-06-01,348,83,S1
2022,6,1,VENTAS CROSS,VENTAS CROSS,488,14,488,14,2022-06-01,488,14,S1
2022,6,1,TARJETAS,TARJETAS,3463,404,3463,404,2022-06-01,3463,404,S1
2022,6,1,RETENCION TARJETAS (GSS),RETENCION TARJETAS (GSS),350,32,350,32,2022-06-01,350,32,S1
2022,6,1,RECLAMOS,RECLAMOS,1596,133,1596,133,2022-06-01,1596,133,S1
2022,6,1,SOPORTE DIGITAL (KONECTA),SOPORTE DIGITAL (KONECTA),80,9,80,9,2022-06-01,80,9,S1
2022,6,1,ALTO VALOR,ALTO VALOR,429,51,429,51,2022-06-01,429,51,S1
2022,6,1,INCLUSION FINANCIERA,INCLUSION FINANCIERA,1044,135,1044,135,2022-06-01,1044,135,S1
2022,6,1,LINEA EMPRESAS,LINEA EMPRESAS,938,187,938,187,2022-06-01,938,187,S1
2022,6,1,CHAT RECLAMOS,CHAT RECLAMOS,317,88,317,88,2022-06-01,317,88,S1
2022,6,2,SOS,SOS,1530,211,3153,482,2022-06-02,3153,482,S1
2022,6,2,CHAT RECLAMOS,CHAT RECLAMOS,289,86,606,185,2022-06-02,606,185,S1
2022,6,2,RECLAMOS,RECLAMOS,1427,100,3023,274,2022-06-02,3023,274,S1
2022,6,2,LINEA NEGOCIOS,LINEA NEGOCIOS,162,20,337,52,2022-06-02,337,52,S1
2022,6,2,RETENCION TARJETAS (GSS),RETENCION TARJETAS (GSS),351,28,701,68,2022-06-02,701,68,S1
2022,6,2,LINEA EMPRESAS,LINEA EMPRESAS,907,171,1845,411,2022-06-02,1845,411,S1
2022,6,2,CHAT CONSULTAS,CHAT CONSULTAS,319,91,667,184,2022-06-02,667,184,S1
2022,6,2,ALTO VALOR,ALTO VALOR,453,57,882,132,2022-06-02,882,132,S1
2022,6,2,TARJETAS,TARJETAS,3230,331,6693,903,2022-06-02,6693,903,S1
2022,6,2,BOP,BOP,7639,983,16062,2454,2022-06-02,16062,2454,S1
2022,6,2,VENTAS CROSS,VENTAS CROSS,510,16,998,40,2022-06-02,998,40,S1
2022,6,2,SOPORTE DIGITAL (KONECTA),SOPORTE DIGITAL (KONECTA),71,4,151,15,2022-06-02,151,15,S1
2022,6,2,INCLUSION FINANCIERA,INCLUSION FINANCIERA,846,87,1890,284,2022-06-02,1890,284,S1
2022,6,3,CHAT CONSULTAS,CHAT CONSULTAS,285,71,952,265,2022-06-03,952,265,S1
2022,6,3,SOPORTE DIGITAL (KONECTA),SOPORTE DIGITAL (KONECTA),59,6,210,21,2022-06-03,210,21,S1
2022,6,3,INCLUSION FINANCIERA,INCLUSION FINANCIERA,802,98,2692,443,2022-06-03,2692,443,S1
2022,6,3,ALTO VALOR,ALTO VALOR,402,56,1284,222,2022-06-03,1284,222,S1
2022,6,3,VENTAS CROSS,VENTAS CROSS,489,19,1487,71,2022-06-03,1487,71,S1
2022,6,3,RETENCION TARJETAS (GSS),RETENCION TARJETAS (GSS),313,27,1014,103,2022-06-03,1014,103,S1
2022,6,3,LINEA NEGOCIOS,LINEA NEGOCIOS,187,33,524,95,2022-06-03,524,95,S1
2022,6,3,BOP,BOP,7361,936,23423,3948,2022-06-03,23423,3948,S1
2022,6,3,SOS,SOS,1495,212,4648,745,2022-06-03,4648,745,S1
2022,6,3,CHAT RECLAMOS,CHAT RECLAMOS,280,84,886,280,2022-06-03,886,280,S1
2022,6,3,TARJETAS,TARJETAS,3460,427,10153,1623,2022-06-03,10153,1623,S1
2022,6,3,RECLAMOS,RECLAMOS,1544,128,4567,473,2022-06-03,4567,473,S1
2022,6,3,LINEA EMPRESAS,LINEA EMPRESAS,987,186,2832,688,2022-06-03,2832,688,S1
2022,6,4,SOPORTE DIGITAL (KONECTA),SOPORTE DIGITAL (KONECTA),45,1,255,22,2022-06-04,255,22,S1
2022,6,4,LINEA NEGOCIOS,LINEA NEGOCIOS,45,5,569,108,2022-06-04,569,108,S1
2022,6,4,VENTAS CROSS,VENTAS CROSS,378,12,1865,102,2022-06-04,1865,102,S1
2022,6,4,CHAT RECLAMOS,CHAT RECLAMOS,180,46,1066,333,2022-06-04,1066,333,S1
2022,6,4,RECLAMOS,RECLAMOS,1092,77,5659,591,2022-06-04,5659,591,S1
